index,conf_id,smiles,area,volume,P_bv,S_cat_bv,S_S_bv,S_cat_darea,S_cat_pint,S_S_darea,S_S_pint,S_cat_P,S_S_P,S_cat_Pangle,S_S_Pangle,S_cat_sarea,S_cat_svol,S_S_sarea,S_S_svol,S_toS_Lvalue,S_toS_B1value,S_toS_B5value,S_toC_Lvalue,S_toC_B1value,S_toC_B5value,P_charge,S_cat_charge,S_S_charge
5147,0,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cc(Cl)cc(Cl)c1)N(C)C(C)(C)C,642.9828112,760.980906,0.9560485,0.631528373,0.783002935,14.81259953,29.91945078,5.295867158,43.83774251,0.053620129,0.020182156,1.886023949,0.134853258,15.39995633,31.12003956,0.450010514,0.613219468,8.415192482,1.869049752,10.87352402,10.84491348,4.304703828,7.642875051,0.28904392,-0.05040772,0.03969964
5147,1,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cc(Cl)cc(Cl)c1)N(C)C(C)(C)C,665.2905265,763.8459216,0.92475191,0.739610511,0.590413017,9.608172666,37.46692154,5.495711202,31.85406687,0.668414919,0.01144276,7.306486596,0.077052081,5.079985594,7.953146014,4.540106079,5.660762094,8.797477058,4.080638154,10.22796148,3.103852166,3.885747786,11.87739573,0.27741991,-0.07404469,-0.0027551
5147,2,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cc(Cl)cc(Cl)c1)N(C)C(C)(C)C,657.3929153,763.1791453,0.925910827,0.622658871,0.601379053,16.01362111,31.54802576,6.195165354,33.41224998,0.169619708,0.019353046,2.0888389,0.129987155,17.13995139,28.46374001,4.430103509,6.107152447,8.7172274,3.802830442,10.03758357,3.106820462,3.972031234,10.70900916,0.2795702,-0.06635071,-0.00125697
5147,3,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cc(Cl)cc(Cl)c1)N(C)C(C)(C)C,671.0896986,768.6783775,0.943428531,0.623654724,0.457254007,16.6141319,29.64289176,17.32136541,23.20171695,0.145831768,1.956582972,3.573450092,14.19712567,15.64995562,30.48812172,28.72890132,52.91095261,9.319862566,2.845648231,11.03635081,8.430624661,2.457376784,12.77613911,0.27035523,-0.04722449,-0.09959687
5147,4,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cc(Cl)cc(Cl)c1)N(C)C(C)(C)C,652.5023459,765.8540707,0.928444139,0.694284616,0.731783451,12.2103861,32.43881097,4.496490983,35.83474286,0.058747437,0.041241089,1.765405823,0.276985423,7.60997842,13.92617601,3.900091125,7.805226405,8.256484533,2.751977449,10.93584694,7.606368598,2.278845339,10.35969085,0.27415528,-0.04309442,0.05183158
5163,0,CC(C)c1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,806.1626713,930.288135,0.949520127,0.704825522,0.949520127,10.00851319,36.2952014,0.099986087,54.34046886,0.316802502,0.797495009,5.249273906,5.901777649,5.019985764,7.281687827,0,0,8.708524181,3.935658829,11.16779228,5.942838198,4.532666339,9.731691393,0.27393181,-0.06562955,0.0072606
5163,1,CC(C)c1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,800.267686,932.6400125,0.948937756,0.814817835,0.948937756,7.005959236,49.08855421,0.599916523,66.3187546,0.798159862,0.797389022,7.969106068,5.888995956,0.079999773,0.117981459,0,0,8.597945834,4.584480906,10.60399026,5.936622277,4.475667533,9.465462352,0.27088839,-0.06777289,0.00992979
5163,2,CC(C)c1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,832.4590853,942.2704801,0.929801062,0.721661852,0.929801062,10.80919425,36.46350202,1.099846958,53.54943665,0.404104231,0.740511806,5.61208007,5.359348895,5.749983694,7.735861901,0,0,8.859360046,4.43891687,11.44326023,5.961508665,4.231669769,13.17095581,0.2899129,-0.08086817,0.00767302
5163,3,CC(C)c1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,812.6541462,940.9335341,0.947318766,0.628051621,0.947318766,17.31472783,31.14696647,0.499930435,60.64059851,0.356382059,0.795008672,4.726798488,5.872550651,18.30994808,32.28355537,0,0,7.903295847,1.904364532,10.80002866,8.187022683,3.944745852,12.04316947,0.2978771,-0.04860943,0.02854827
5163,4,CC(C)c1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,824.4652226,934.3219917,0.919434868,0.669493105,0.919434868,15.91353598,35.51470148,1.199833045,50.41914409,0.0466819,0.697213896,2.901376884,5.053311667,8.839974932,14.14652507,0,0,8.397587889,3.735119032,11.42126561,5.97770925,4.406883809,13.17360962,0.27550018,-0.07781272,0.01850991
5149,0,COc1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,795.7715551,899.148925,0.926318487,0.700958582,0.926318487,12.91098202,35.10635179,0.999860871,53.84842048,0.392845597,0.779272292,5.523591679,5.737693036,7.949977456,12.01015573,0,0,8.851481446,3.853525481,11.20757864,6.018249808,4.197211075,12.78257004,0.27323795,-0.07271207,0.02579633
5149,1,COc1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,794.5718653,899.6601188,0.924914974,0.678950801,0.924914974,13.91183334,34.09008137,1.199833045,54.25761797,0.547993088,0.781755705,6.402847753,5.76766518,8.579975669,13.61858511,0,0,8.901222844,3.846223823,10.75499761,6.022819446,4.179788247,12.21662609,0.27433216,-0.06242872,0.02470194
5149,2,COc1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,779.6699823,899.7160769,0.941093226,0.736046403,0.941093226,9.608172666,41.24065834,0.199972174,56.81321446,0.599704143,0.789744856,6.798522219,5.819457736,0.569998384,0.684223458,0,0,8.648465795,4.395167531,11.17234137,5.934096214,4.559015808,8.887890163,0.27440426,-0.06373564,-0.0094252
5149,3,COc1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,793.7758413,899.4916604,0.940272083,0.649069372,0.940272083,17.71506835,35.39301519,0.499930435,59.00982407,0.811578633,0.798072899,8.070618253,5.895327672,9.859972039,15.72809275,0,0,8.490907713,3.36728187,11.00561754,5.937437233,4.027480445,10.28425805,0.2706981,-0.05037219,0.02999105
5149,4,COc1cc(C(C)C)c(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1,761.9689855,895.7133296,0.927774413,0.767203224,0.927774413,6.905874104,40.51828985,1.199833045,55.32467408,0.08282725,0.743592446,2.062197576,5.392468124,1.389996058,2.015058015,0,0,8.605068321,4.473489435,10.97002479,5.969732648,4.430582039,10.54708337,0.28055619,-0.08310904,0.01734539
5162,0,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1F)N(C)C(C)(C)C,651.1395303,731.8534645,0.925642937,0.667862467,0.6287097,14.7125144,31.93824677,6.594853442,32.53862568,0.512754083,0.000290588,6.210133369,0.001943138,9.719972436,16.4331647,6.340148137,7.181503052,8.895799842,3.257152569,10.2217224,5.722129362,3.634569595,12.35646073,0.27375814,-0.06157492,0.02292471
5162,1,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1F)N(C)C(C)(C)C,653.0385289,732.5410454,0.925520639,0.668741847,0.629169773,14.412259,32.00933752,6.395009398,32.24671043,0.50704617,0.000978244,6.165578139,0.006540977,9.519973003,16.07962595,6.430150239,7.269706818,8.894249921,3.273350991,10.23676685,5.790315273,3.618557269,12.41761559,0.2740882,-0.06051634,0.02232099
5162,2,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1F)N(C)C(C)(C)C,614.6621471,729.366734,0.929667117,0.651701687,0.804841828,14.1120036,31.02750084,3.097582677,37.26456774,0.074051804,0.060804461,1.601925171,0.406650665,13.68996118,25.88658853,2.450057245,4.302897785,8.117928206,1.882309798,11.08411677,7.844258041,2.34771134,9.205180583,0.27884195,-0.07928081,0.03999628
5162,3,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1F)N(C)C(C)(C)C,650.3415508,734.4813289,0.941110697,0.639011834,0.624487514,16.31387651,31.10293995,6.395009398,31.43119448,0.588136776,0.005643495,6.661386725,0.037771112,12.25996523,21.62135334,6.550153043,7.409279435,8.694789356,2.435438972,11.14172725,5.855638626,2.959384044,13.88072945,0.27224952,-0.04670349,0.01799995
5162,4,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1F)N(C)C(C)(C)C,614.9619054,728.4157102,0.929311871,0.651660921,0.805074776,14.412259,31.32498995,2.69789459,34.02505575,0.070786826,0.060986848,1.542302248,0.407895162,13.63996132,25.83372532,2.430056778,4.259020263,8.126407434,1.888826539,11.08629465,7.86968837,2.347514061,9.224603584,0.27886993,-0.07949575,0.04007804
5155,0,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,673.761747,782.149557,0.929043981,0.733973164,0.929043981,10.40885372,36.03050141,1.199833045,54.07300162,0.188202996,0.779906319,2.306643174,5.743699474,6.179982475,9.590139229,0,0,8.728442881,3.598725261,10.29194239,6.020399907,4.254034147,8.765028636,0.28343414,-0.06730007,-0.00112021
5155,1,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,677.3611166,784.5333207,0.928863446,0.734124581,0.928863446,10.60902399,36.46392288,1.399805219,54.70756307,0.193612039,0.780016153,2.370664949,5.744662556,6.059982815,9.400896148,0,0,8.732321065,3.620509316,10.28428288,6.020856,4.261036344,8.764159575,0.28342076,-0.06720596,-0.00109456
5155,2,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,695.7444384,783.0106066,0.926603848,0.678741148,0.926603848,13.31132255,32.5615101,0.899874784,53.81732351,0.54843238,0.794909588,6.378283824,5.896024975,8.509975867,14.32809389,0,0,8.891297228,3.392117236,10.24548722,6.034824902,4.142992603,10.13863621,0.26714667,-0.04666478,-0.00694558
5155,3,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,694.2605348,781.6343066,0.940860278,0.630893589,0.940860278,16.6141319,33.24536934,0.299958261,55.19962008,0.572794026,0.792601332,6.569721717,5.846147693,9.969971727,16.14684305,0,0,8.729987464,4.251580122,11.14728005,5.936147816,4.055894576,8.725763386,0.27363847,-0.06872114,0.00083803
5155,4,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,685.9433015,777.4726326,0.929061452,0.711266539,0.929061452,10.80919425,36.07296282,0.899874784,54.93593347,0.198744718,0.806432512,3.476249804,6.015877062,2.049994187,2.878893503,0,0,8.67853977,3.492601502,10.46345859,6.078438863,4.076537362,9.674450757,0.26829328,-0.03465339,-0.01771524
5154,0,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,625.0147978,747.0863033,0.931041511,0.647817275,0.789933144,13.91183334,30.80043236,2.797816612,34.48868801,0.015622347,0.051270937,0.372308693,0.344313165,13.68996118,25.74618275,2.620061217,4.709198349,8.405304128,1.8,11.02434399,7.648093336,2.298432039,9.508449178,0.28887817,-0.06807919,0.05475708
5154,1,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,633.2857489,747.0778369,0.944453504,0.77178648,0.593522876,9.30791727,35.70756416,5.895399289,30.9143345,0.043627017,0.005459415,0.451670018,0.036726195,6.099982702,9.779081499,4.650108649,6.264129693,8.827303242,3.215082429,10.48692562,3.103616602,3.333453375,11.59533073,0.30051609,-0.08813675,-0.00040274
5154,2,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,669.9926874,751.6787945,0.924571375,0.682427553,0.622303625,13.41140768,32.61988331,6.594853442,32.5578017,0.493183318,0.031179449,6.144628786,0.209211758,7.379979072,11.7474556,6.480151408,7.669366858,8.887373491,3.752660725,10.38859233,6.248466863,3.695673859,12.81724342,0.27340913,-0.05657109,0.0357721
5154,3,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,677.2890643,755.947792,0.924315132,0.678438315,0.62081858,13.51149281,32.60228114,6.195165354,32.17175518,0.510353214,0.027683946,6.267747778,0.185767558,7.829977796,12.73712265,6.530152576,7.672268641,8.886073356,3.731535135,10.37622205,6.230230123,3.766765382,12.74806133,0.27367088,-0.05738224,0.03523573
5154,4,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,665.6938333,753.550922,0.940842807,0.644037691,0.633729734,15.41311032,30.45819584,6.594853442,33.2490631,0.176864992,0.028865339,3.703836241,0.193818226,12.06996577,22.46921792,4.57010678,7.852114671,8.665690747,2.502828364,11.12813028,6.627140652,2.040397265,12.61330653,0.27471848,-0.04044461,0.04143032
5142,0,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,696.5482016,775.2467577,0.925811824,0.686317788,0.925811824,13.31132255,32.66155673,1.299819132,53.36942877,0.427516182,0.782524412,5.663667327,5.773861148,7.229979497,11.59070494,0,0,8.880371503,3.818648596,10.24632945,6.017885669,4.175047591,11.35959736,0.2681091,-0.06032402,0.02496569
5142,1,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,694.7496859,778.7073339,0.939893543,0.633846208,0.939893543,16.01362111,30.28081603,0.399944348,65.27412717,0.212275254,0.799043316,4.145538958,5.909839127,13.11996279,23.19956318,0,0,8.678098196,2.711335791,11.10785549,5.934436153,3.739522527,8.72146883,0.27088443,-0.04885071,0.02379415
5142,2,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,667.5684799,774.410207,0.930534849,0.691151463,0.930534849,13.01106715,32.12283347,0.499930435,56.58768479,0.224196711,0.783883155,3.771270643,5.775924627,9.649972635,17.06205808,0,0,7.722701662,2.552074643,10.95537133,6.00849308,4.053026207,8.786388518,0.26787444,-0.05587539,0.04394361
5142,3,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,696.3482396,778.9297442,0.926038949,0.688297848,0.926038949,13.11115228,32.88562619,1.199833045,53.85850831,0.415099706,0.783408755,5.560738161,5.782554738,7.099979866,11.36660602,0,0,8.874850586,3.820858225,10.24412238,6.02138479,4.167605607,11.3556332,0.26844134,-0.05921864,0.02518857
5142,4,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,693.3517238,775.6547535,0.939707184,0.644200755,0.939707184,15.41311032,30.81321444,0.299958261,64.12309334,0.285078152,0.798233077,4.575010211,5.90154021,11.44996753,20.05654807,0,0,8.755968763,2.672512393,11.10301677,5.932560688,3.741304418,8.826518364,0.27141216,-0.04698467,0.02472351
5144,0,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,673.8468137,754.8090569,0.925864238,0.685321934,0.925864238,13.31132255,32.56926191,1.299819132,53.86726824,0.420329593,0.782475838,5.600164706,5.773011613,7.42997893,12.12883625,0,0,8.878921594,3.514746212,10.23920211,6.01982476,4.174584572,11.8258652,0.26871683,-0.06100018,0.02740937
5144,1,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,673.8469881,753.54707,0.92522363,0.676691204,0.92522363,13.91183334,32.39202584,0.899874784,53.41625591,0.465700291,0.781599699,5.956218131,5.765319075,8.329976378,13.6395212,0,0,8.889460202,3.472231401,10.22007245,6.016556128,4.181566515,11.66913065,0.26896234,-0.06298965,0.02609491
5144,2,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,670.4470317,751.1268606,0.92569535,0.676598025,0.92569535,14.1120036,32.40833186,1.099846958,53.39299685,0.463340131,0.782753125,5.904361476,5.77747323,8.259976576,13.52852332,0,0,8.888578541,3.44355086,10.22597023,6.02296021,4.164174545,11.63469719,0.27013884,-0.06165389,0.02588834
5144,3,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,644.6668093,750.0690614,0.930732855,0.690982575,0.930732855,13.11115228,32.17675779,0.69990261,56.49469458,0.239489126,0.78379324,3.902805783,5.774386033,9.819972153,17.50694641,0,0,7.685534317,2.409793684,10.94575107,6.007804811,4.061612906,8.764819584,0.26766374,-0.05572934,0.04496945
5144,4,Cc1ccc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1,634.8669822,749.1181696,0.930360138,0.652185054,0.930360138,13.91183334,30.53790226,1.099846958,56.87526409,0.089801056,0.776614316,1.845666997,5.710662284,13.87996064,26.34193029,0,0,8.091938941,1.846846248,11.06854461,6.012862395,4.004786676,8.969647221,0.27726375,-0.08378124,0.04713557
4280,0,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,667.9420633,750.9618035,0.925485697,0.674769381,0.925485697,14.01191847,32.49886515,1.299819132,53.87913397,0.480116634,0.782040883,6.006145049,5.7704626,8.549975754,13.81622712,0,0,8.894641403,3.773865511,10.22720421,6.021735515,4.172196807,10.53763145,0.27077929,-0.06549902,0.02373006
4280,1,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,665.6434255,748.7253225,0.925724469,0.675520639,0.925724469,13.81174821,32.46423384,0.999860871,53.02449534,0.480475344,0.781583973,6.02153336,5.765925797,8.359976293,13.34435605,0,0,8.894255071,3.796926064,10.22682731,6.019425479,4.177521911,10.55084031,0.2702082,-0.06564994,0.02343833
4280,2,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,664.2403536,749.3882899,0.925934122,0.692642331,0.925934122,12.41055636,32.98944573,1.299819132,54.15597309,0.449515091,0.78309844,5.814627192,5.780292055,6.669981085,10.90537017,0,0,8.879379373,3.730087796,10.23266472,6.018009814,4.174826059,10.76253928,0.2673786,-0.05222319,0.01926743
4280,3,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,669.1418841,750.7479631,0.925043095,0.668031355,0.925043095,14.51234413,32.38764742,0.899874784,53.12760763,0.512961951,0.781808612,6.254970106,5.768046978,9.49997306,15.37859006,0,0,8.891937815,3.714532131,10.19658343,6.018899167,4.182909434,10.38562321,0.2709535,-0.06654263,0.02251842
4280,4,Cc1ccccc1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,639.0592597,748.4278783,0.928601379,0.699106644,0.928601379,11.9101307,33.67233361,0.799888697,52.91216505,0.05092231,0.750453104,1.622314855,5.450970739,7.019980093,12.47254127,0,0,8.277700911,3.021197456,10.91914374,5.95553642,3.989737726,8.791731674,0.27160254,-0.04824693,0.04062587
5157,0,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1ccccc1C(F)(F)F)N(C)C(C)(C)C,686.224452,764.8796953,0.92542746,0.671589638,0.614249441,14.51234413,32.43100389,6.794697485,32.30574537,0.420292114,0.011260062,5.65609654,0.075582085,9.509973032,15.77685483,6.420150006,7.484462271,8.871990029,3.632344438,10.2165279,5.638276285,3.528135124,12.92631718,0.27492111,-0.06724883,0.03940824
